Record Date,Program Description,Account Description,Participant Group Description,Projection Amount (in Trillions),Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2024-09-30,"Federal Old-Age, Survivors and Disability Insurance (Social Security)",Revenue (Contributions and Dedicated Taxes) from,Participants who have attained eligibility age (age 62 and over),2.400,1,2024,4,2024,3,09,30
2024-09-30,"Federal Old-Age, Survivors and Disability Insurance (Social Security)",Revenue (Contributions and Dedicated Taxes) from,Participants who have not attained eligibility age,44.600,2,2024,4,2024,3,09,30
2024-09-30,"Federal Old-Age, Survivors and Disability Insurance (Social Security)",Revenue (Contributions and Dedicated Taxes) from,Future participants,44.300,3,2024,4,2024,3,09,30
2024-09-30,"Federal Old-Age, Survivors and Disability Insurance (Social Security)",Revenue (Contributions and Dedicated Taxes) from,All current and future participants,91.300,4,2024,4,2024,3,09,30
2024-09-30,"Federal Old-Age, Survivors and Disability Insurance (Social Security)",Expenditures for Scheduled Future Benefits for,Participants who have attained eligibility age (age 62 and over),-24.600,5,2024,4,2024,3,09,30
2024-09-30,"Federal Old-Age, Survivors and Disability Insurance (Social Security)",Expenditures for Scheduled Future Benefits for,Participants who have not attained eligibility age,-74.000,6,2024,4,2024,3,09,30
2024-09-30,"Federal Old-Age, Survivors and Disability Insurance (Social Security)",Expenditures for Scheduled Future Benefits for,Future participants,-18.100,7,2024,4,2024,3,09,30
2024-09-30,"Federal Old-Age, Survivors and Disability Insurance (Social Security)",Expenditures for Scheduled Future Benefits for,All current and future participants,-116.700,8,2024,4,2024,3,09,30
2024-09-30,"Federal Old-Age, Survivors and Disability Insurance (Social Security)",Present value of future expenditures in excess of future revenue,null,-25.400,9,2024,4,2024,3,09,30
2024-09-30,Federal Hospital Insurance (Medicare Part A),Revenue (Contributions and Dedicated Taxes) from,Participants who have attained eligibility age (age 65 and over),0.900,10,2024,4,2024,3,09,30
2024-09-30,Federal Hospital Insurance (Medicare Part A),Revenue (Contributions and Dedicated Taxes) from,Participants who have not attained eligibility age,16.200,11,2024,4,2024,3,09,30
2024-09-30,Federal Hospital Insurance (Medicare Part A),Revenue (Contributions and Dedicated Taxes) from,Future participants,15.400,12,2024,4,2024,3,09,30
2024-09-30,Federal Hospital Insurance (Medicare Part A),Revenue (Contributions and Dedicated Taxes) from,All current and future participants,32.500,13,2024,4,2024,3,09,30
2024-09-30,Federal Hospital Insurance (Medicare Part A),Expenditures for Scheduled Future Benefits for,Participants who have attained eligibility age (age 65 and over),-7.300,14,2024,4,2024,3,09,30
2024-09-30,Federal Hospital Insurance (Medicare Part A),Expenditures for Scheduled Future Benefits for,Participants who have not attained eligibility age,-23.000,15,2024,4,2024,3,09,30
2024-09-30,Federal Hospital Insurance (Medicare Part A),Expenditures for Scheduled Future Benefits for,Future participants,-4.800,16,2024,4,2024,3,09,30
2024-09-30,Federal Hospital Insurance (Medicare Part A),Expenditures for Scheduled Future Benefits for,All current and future participants,-35.100,17,2024,4,2024,3,09,30
2024-09-30,Federal Hospital Insurance (Medicare Part A),Present value of future expenditures in excess of future revenue,null,-2.600,18,2024,4,2024,3,09,30
2024-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Revenue (Premiums) from,Participants who have attained eligibility age (age 65 and over),2.300,19,2024,4,2024,3,09,30
2024-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Revenue (Premiums) from,Participants who have not attained eligibility age,11.200,20,2024,4,2024,3,09,30
2024-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Revenue (Premiums) from,Future participants,2.800,21,2024,4,2024,3,09,30
2024-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Revenue (Premiums) from,General Fund transfers,42.400,22,2024,4,2024,3,09,30
2024-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Revenue (Premiums) from,All current and future participants,58.700,23,2024,4,2024,3,09,30
2024-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Expenditures for Scheduled Future Benefits for,Participants who have attained eligibility age (age 65 and over),-8.500,24,2024,4,2024,3,09,30
2024-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Expenditures for Scheduled Future Benefits for,Participants who have not attained eligibility age,-39.900,25,2024,4,2024,3,09,30
2024-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Expenditures for Scheduled Future Benefits for,Future participants,-10.300,26,2024,4,2024,3,09,30
2024-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Expenditures for Scheduled Future Benefits for,All current and future participants,-58.700,27,2024,4,2024,3,09,30
2024-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Eliminations,null,-42.400,28,2024,4,2024,3,09,30
2024-09-30,Federal Supplementary Medical Insurance (Medicare Part B),Present value of future expenditures in excess of future revenue (after eliminations),null,-42.400,29,2024,4,2024,3,09,30
2024-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Revenue (Premiums and State Transfers) from,Participants who have attained eligibility age (age 65 and over),0.400,30,2024,4,2024,3,09,30
2024-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Revenue (Premiums and State Transfers) from,Participants who have not attained eligibility age,2.100,31,2024,4,2024,3,09,30
2024-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Revenue (Premiums and State Transfers) from,Future participants,0.700,32,2024,4,2024,3,09,30
2024-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Revenue (Premiums and State Transfers) from,General Fund transfers,7.800,33,2024,4,2024,3,09,30
2024-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Revenue (Premiums and State Transfers) from,All current and future participants,11.000,34,2024,4,2024,3,09,30
2024-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Expenditures for Scheduled Future Benefits for,Participants who have attained eligibility age (age 65 and over),-1.500,35,2024,4,2024,3,09,30
2024-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Expenditures for Scheduled Future Benefits for,Participants who have not attained eligibility age,-7.100,36,2024,4,2024,3,09,30
2024-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Expenditures for Scheduled Future Benefits for,Future participants,-2.400,37,2024,4,2024,3,09,30
2024-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Expenditures for Scheduled Future Benefits for,All current and future participants,-11.000,38,2024,4,2024,3,09,30
2024-09-30,Federal Supplementary Medical Insurance (Medicare Part D),Eliminations,null,-7.800,39,2024,4,2024,3,09,30
